Service_Line,Passengers,Day_and_Time,Day_of_the_week
Line A,0,2023-09-16 23:00:00,Saturday
Line B,0,2023-09-16 23:00:00,Saturday
Line H,0,2023-09-16 23:00:00,Saturday
Line J,0,2023-09-16 23:00:00,Saturday
Line K,0,2023-09-16 23:00:00,Saturday
Line L,0,2023-09-16 23:00:00,Saturday
Line M,0,2023-09-16 23:00:00,Saturday
Line O,0,2023-09-16 23:00:00,Saturday
Line P,0,2023-09-16 23:00:00,Saturday
Line T,0,2023-09-16 23:00:00,Saturday
Line 1,0,2023-09-17 23:00:00,Sunday
Line 2,0,2023-09-17 23:00:00,Sunday
Line A,0,2023-09-17 23:00:00,Sunday
Line B,0,2023-09-17 23:00:00,Sunday
Line H,0,2023-09-17 23:00:00,Sunday
Line J,0,2023-09-17 23:00:00,Sunday
Line K,0,2023-09-17 23:00:00,Sunday
Line L,0,2023-09-17 23:00:00,Sunday
Line M,0,2023-09-17 23:00:00,Sunday
Line O,0,2023-09-17 23:00:00,Sunday
Line P,0,2023-09-17 23:00:00,Sunday
Line T,0,2023-09-17 23:00:00,Sunday
Line 1,0,2023-09-18 23:00:00,Monday
Line 2,0,2023-09-18 23:00:00,Monday
Line A,113,2023-09-18 23:00:00,Monday
Line B,22,2023-09-18 23:00:00,Monday
Line H,4,2023-09-18 23:00:00,Monday
Line J,6,2023-09-18 23:00:00,Monday
Line K,0,2023-09-18 23:00:00,Monday
Line M,95,2023-09-18 23:00:00,Monday
Line O,5,2023-09-18 23:00:00,Monday
Line P,87,2023-09-18 23:00:00,Monday
Line T,88,2023-09-18 23:00:00,Monday
Line 1,0,2023-09-19 23:00:00,Tuesday
Line 2,21,2023-09-19 23:00:00,Tuesday
Line A,3,2023-09-19 23:00:00,Tuesday
Line B,57,2023-09-19 23:00:00,Tuesday
Line H,12,2023-09-19 23:00:00,Tuesday
Line J,2,2023-09-19 23:00:00,Tuesday
Line K,2,2023-09-19 23:00:00,Tuesday
Line L,0,2023-09-19 23:00:00,Tuesday
Line M,48,2023-09-19 23:00:00,Tuesday
Line O,6,2023-09-19 23:00:00,Tuesday
Line P,59,2023-09-19 23:00:00,Tuesday
Line T,68,2023-09-19 23:00:00,Tuesday
Line 1,0,2023-09-20 23:00:00,Wednesday
Line 2,16,2023-09-20 23:00:00,Wednesday
Line A,3,2023-09-20 23:00:00,Wednesday
Line B,79,2023-09-20 23:00:00,Wednesday
Line H,15,2023-09-20 23:00:00,Wednesday
Line J,0,2023-09-20 23:00:00,Wednesday
Line K,0,2023-09-20 23:00:00,Wednesday
Line L,0,2023-09-20 23:00:00,Wednesday
Line M,45,2023-09-20 23:00:00,Wednesday
Line O,1,2023-09-20 23:00:00,Wednesday
Line P,59,2023-09-20 23:00:00,Wednesday
Line T,43,2023-09-20 23:00:00,Wednesday
Line 1,3,2023-09-21 23:00:00,Thursday
Line 2,6,2023-09-21 23:00:00,Thursday
Line A,0,2023-09-21 23:00:00,Thursday
Line B,117,2023-09-21 23:00:00,Thursday
Line H,17,2023-09-21 23:00:00,Thursday
Line J,1,2023-09-21 23:00:00,Thursday
Line K,1,2023-09-21 23:00:00,Thursday
Line L,0,2023-09-21 23:00:00,Thursday
Line M,93,2023-09-21 23:00:00,Thursday
Line O,5,2023-09-21 23:00:00,Thursday
Line P,81,2023-09-21 23:00:00,Thursday
Line T,55,2023-09-21 23:00:00,Thursday
Line 1,0,2023-09-22 23:00:00,Friday
Line 2,29,2023-09-22 23:00:00,Friday
Line A,0,2023-09-22 23:00:00,Friday
Line B,125,2023-09-22 23:00:00,Friday
Line H,21,2023-09-22 23:00:00,Friday
Line J,4,2023-09-22 23:00:00,Friday
Line K,0,2023-09-22 23:00:00,Friday
Line L,0,2023-09-22 23:00:00,Friday
Line M,41,2023-09-22 23:00:00,Friday
Line O,5,2023-09-22 23:00:00,Friday
Line P,107,2023-09-22 23:00:00,Friday
Line T,44,2023-09-22 23:00:00,Friday
Line 1,0,2023-09-23 23:00:00,Saturday
Line 2,11,2023-09-23 23:00:00,Saturday
Line A,4,2023-09-23 23:00:00,Saturday
Line B,0,2023-09-23 23:00:00,Saturday
Line H,0,2023-09-23 23:00:00,Saturday
Line J,0,2023-09-23 23:00:00,Saturday
Line K,0,2023-09-23 23:00:00,Saturday
Line L,0,2023-09-23 23:00:00,Saturday
Line M,0,2023-09-23 23:00:00,Saturday
Line O,0,2023-09-23 23:00:00,Saturday
Line P,0,2023-09-23 23:00:00,Saturday
Line T,0,2023-09-23 23:00:00,Saturday
Line 1,0,2023-09-24 23:00:00,Sunday
Line 2,0,2023-09-24 23:00:00,Sunday
Line A,0,2023-09-24 23:00:00,Sunday
Line B,75,2023-09-24 23:00:00,Sunday
Line H,8,2023-09-24 23:00:00,Sunday
Line J,6,2023-09-24 23:00:00,Sunday
Line K,1,2023-09-24 23:00:00,Sunday
Line L,16,2023-09-24 23:00:00,Sunday
Line M,2,2023-09-24 23:00:00,Sunday
Line O,52,2023-09-24 23:00:00,Sunday
Line P,47,2023-09-24 23:00:00,Sunday
Line T,0,2023-09-24 23:00:00,Sunday
Line 1,5,2023-09-25 23:00:00,Monday
Line 2,2,2023-09-25 23:00:00,Monday
Line A,80,2023-09-25 23:00:00,Monday
Line B,12,2023-09-25 23:00:00,Monday
Line H,1,2023-09-25 23:00:00,Monday
Line J,1,2023-09-25 23:00:00,Monday
Line K,0,2023-09-25 23:00:00,Monday
Line M,46,2023-09-25 23:00:00,Monday
Line O,3,2023-09-25 23:00:00,Monday
Line P,43,2023-09-25 23:00:00,Monday
Line T,41,2023-09-25 23:00:00,Monday
Line 1,0,2023-09-26 23:00:00,Tuesday
Line 2,8,2023-09-26 23:00:00,Tuesday
Line A,1,2023-09-26 23:00:00,Tuesday
Line B,68,2023-09-26 23:00:00,Tuesday
Line H,22,2023-09-26 23:00:00,Tuesday
Line J,2,2023-09-26 23:00:00,Tuesday
Line K,4,2023-09-26 23:00:00,Tuesday
Line L,0,2023-09-26 23:00:00,Tuesday
Line M,27,2023-09-26 23:00:00,Tuesday
Line O,7,2023-09-26 23:00:00,Tuesday
Line P,40,2023-09-26 23:00:00,Tuesday
Line T,57,2023-09-26 23:00:00,Tuesday
Line 1,1,2023-09-27 23:00:00,Wednesday
Line 2,14,2023-09-27 23:00:00,Wednesday
Line A,3,2023-09-27 23:00:00,Wednesday
Line B,95,2023-09-27 23:00:00,Wednesday
Line H,15,2023-09-27 23:00:00,Wednesday
Line J,1,2023-09-27 23:00:00,Wednesday
Line K,1,2023-09-27 23:00:00,Wednesday
Line L,0,2023-09-27 23:00:00,Wednesday
Line M,43,2023-09-27 23:00:00,Wednesday
Line O,2,2023-09-27 23:00:00,Wednesday
Line P,58,2023-09-27 23:00:00,Wednesday
Line T,41,2023-09-27 23:00:00,Wednesday
Line 1,0,2023-09-28 23:00:00,Thursday
Line 2,17,2023-09-28 23:00:00,Thursday
Line A,4,2023-09-28 23:00:00,Thursday
Line B,167,2023-09-28 23:00:00,Thursday
Line H,33,2023-09-28 23:00:00,Thursday
Line J,2,2023-09-28 23:00:00,Thursday
Line K,1,2023-09-28 23:00:00,Thursday
Line L,0,2023-09-28 23:00:00,Thursday
Line M,34,2023-09-28 23:00:00,Thursday
Line O,7,2023-09-28 23:00:00,Thursday
Line P,144,2023-09-28 23:00:00,Thursday
Line T,91,2023-09-28 23:00:00,Thursday
Line 1,0,2023-09-29 23:00:00,Friday
Line 2,21,2023-09-29 23:00:00,Friday
Line A,1,2023-09-29 23:00:00,Friday
Line B,0,2023-09-29 23:00:00,Friday
Line H,0,2023-09-29 23:00:00,Friday
Line J,0,2023-09-29 23:00:00,Friday
Line K,0,2023-09-29 23:00:00,Friday
Line L,0,2023-09-29 23:00:00,Friday
Line M,0,2023-09-29 23:00:00,Friday
Line O,0,2023-09-29 23:00:00,Friday
Line P,0,2023-09-29 23:00:00,Friday
Line T,0,2023-09-29 23:00:00,Friday
Line 1,0,2023-09-30 23:00:00,Saturday
Line 2,0,2023-09-30 23:00:00,Saturday
Line A,0,2023-09-30 23:00:00,Saturday
Line B,0,2023-09-30 23:00:00,Saturday
Line H,0,2023-09-30 23:00:00,Saturday
Line J,0,2023-09-30 23:00:00,Saturday
Line K,0,2023-09-30 23:00:00,Saturday
Line L,0,2023-09-30 23:00:00,Saturday
Line M,0,2023-09-30 23:00:00,Saturday
Line O,0,2023-09-30 23:00:00,Saturday
Line P,0,2023-09-30 23:00:00,Saturday
Line T,0,2023-09-30 23:00:00,Saturday
Line 1,0,2023-10-01 23:00:00,Sunday
Line 2,0,2023-10-01 23:00:00,Sunday
Line A,0,2023-10-01 23:00:00,Sunday
Line B,0,2023-10-01 23:00:00,Sunday
Line H,0,2023-10-01 23:00:00,Sunday
Line J,0,2023-10-01 23:00:00,Sunday
Line K,0,2023-10-01 23:00:00,Sunday
Line L,0,2023-10-01 23:00:00,Sunday
Line M,0,2023-10-01 23:00:00,Sunday
Line O,0,2023-10-01 23:00:00,Sunday
Line P,0,2023-10-01 23:00:00,Sunday
Line T,0,2023-10-01 23:00:00,Sunday
Line 1,0,2023-10-02 23:00:00,Monday
Line 2,0,2023-10-02 23:00:00,Monday
Line A,0,2023-10-02 23:00:00,Monday
Line B,0,2023-10-02 23:00:00,Monday
Line H,0,2023-10-02 23:00:00,Monday
Line J,0,2023-10-02 23:00:00,Monday
Line K,0,2023-10-02 23:00:00,Monday
Line M,0,2023-10-02 23:00:00,Monday
Line O,0,2023-10-02 23:00:00,Monday
Line P,0,2023-10-02 23:00:00,Monday
Line T,0,2023-10-02 23:00:00,Monday
Line 1,0,2023-10-03 23:00:00,Tuesday
Line 2,0,2023-10-03 23:00:00,Tuesday
Line A,0,2023-10-03 23:00:00,Tuesday
Line B,0,2023-10-03 23:00:00,Tuesday
Line H,0,2023-10-03 23:00:00,Tuesday
Line J,0,2023-10-03 23:00:00,Tuesday
Line K,0,2023-10-03 23:00:00,Tuesday
Line L,0,2023-10-03 23:00:00,Tuesday
Line M,0,2023-10-03 23:00:00,Tuesday
Line O,0,2023-10-03 23:00:00,Tuesday
Line P,0,2023-10-03 23:00:00,Tuesday
Line T,0,2023-10-03 23:00:00,Tuesday
Line 1,0,2023-10-04 23:00:00,Wednesday
Line 2,0,2023-10-04 23:00:00,Wednesday
Line A,0,2023-10-04 23:00:00,Wednesday
Line B,0,2023-10-04 23:00:00,Wednesday
Line H,0,2023-10-04 23:00:00,Wednesday
Line J,0,2023-10-04 23:00:00,Wednesday
Line K,0,2023-10-04 23:00:00,Wednesday
Line L,0,2023-10-04 23:00:00,Wednesday
Line M,0,2023-10-04 23:00:00,Wednesday
Line O,0,2023-10-04 23:00:00,Wednesday
Line P,0,2023-10-04 23:00:00,Wednesday
Line T,0,2023-10-04 23:00:00,Wednesday
Line 1,0,2023-10-05 23:00:00,Thursday
Line 2,0,2023-10-05 23:00:00,Thursday
Line A,0,2023-10-05 23:00:00,Thursday
Line B,0,2023-10-05 23:00:00,Thursday
Line H,0,2023-10-05 23:00:00,Thursday
Line J,0,2023-10-05 23:00:00,Thursday
Line K,0,2023-10-05 23:00:00,Thursday
Line L,0,2023-10-05 23:00:00,Thursday
Line M,0,2023-10-05 23:00:00,Thursday
Line O,0,2023-10-05 23:00:00,Thursday
Line P,0,2023-10-05 23:00:00,Thursday
Line T,0,2023-10-05 23:00:00,Thursday
Line 1,0,2023-10-06 23:00:00,Friday
Line 2,0,2023-10-06 23:00:00,Friday
Line A,0,2023-10-06 23:00:00,Friday
Line B,0,2023-10-06 23:00:00,Friday
Line H,0,2023-10-06 23:00:00,Friday
Line J,0,2023-10-06 23:00:00,Friday
Line K,0,2023-10-06 23:00:00,Friday
Line L,0,2023-10-06 23:00:00,Friday
Line M,0,2023-10-06 23:00:00,Friday
Line O,0,2023-10-06 23:00:00,Friday
Line P,0,2023-10-06 23:00:00,Friday
Line T,0,2023-10-06 23:00:00,Friday
Line 1,0,2023-10-07 23:00:00,Saturday
Line 2,0,2023-10-07 23:00:00,Saturday
Line A,0,2023-10-07 23:00:00,Saturday
Line B,0,2023-10-07 23:00:00,Saturday
Line H,0,2023-10-07 23:00:00,Saturday
Line J,0,2023-10-07 23:00:00,Saturday
Line K,0,2023-10-07 23:00:00,Saturday
Line L,0,2023-10-07 23:00:00,Saturday
Line M,0,2023-10-07 23:00:00,Saturday
Line O,0,2023-10-07 23:00:00,Saturday
Line P,0,2023-10-07 23:00:00,Saturday
Line T,0,2023-10-07 23:00:00,Saturday
Line 1,0,2023-10-08 23:00:00,Sunday
Line 2,0,2023-10-08 23:00:00,Sunday
Line A,0,2023-10-08 23:00:00,Sunday
Line B,0,2023-10-08 23:00:00,Sunday
Line H,0,2023-10-08 23:00:00,Sunday
Line J,0,2023-10-08 23:00:00,Sunday
Line K,0,2023-10-08 23:00:00,Sunday
Line L,0,2023-10-08 23:00:00,Sunday
Line M,0,2023-10-08 23:00:00,Sunday
Line O,0,2023-10-08 23:00:00,Sunday
Line P,0,2023-10-08 23:00:00,Sunday
Line T,0,2023-10-08 23:00:00,Sunday
Line 1,0,2023-10-09 23:00:00,Monday
Line 2,0,2023-10-09 23:00:00,Monday
Line A,0,2023-10-09 23:00:00,Monday
Line B,0,2023-10-09 23:00:00,Monday
Line H,0,2023-10-09 23:00:00,Monday
Line J,0,2023-10-09 23:00:00,Monday
Line K,0,2023-10-09 23:00:00,Monday
Line M,0,2023-10-09 23:00:00,Monday
Line O,0,2023-10-09 23:00:00,Monday
Line P,0,2023-10-09 23:00:00,Monday
Line T,0,2023-10-09 23:00:00,Monday
Line 1,0,2023-10-10 23:00:00,Tuesday
Line 2,0,2023-10-10 23:00:00,Tuesday
Line A,0,2023-10-10 23:00:00,Tuesday
Line B,0,2023-10-10 23:00:00,Tuesday
Line H,0,2023-10-10 23:00:00,Tuesday
Line J,0,2023-10-10 23:00:00,Tuesday
Line K,0,2023-10-10 23:00:00,Tuesday
Line L,0,2023-10-10 23:00:00,Tuesday
Line M,0,2023-10-10 23:00:00,Tuesday
Line O,0,2023-10-10 23:00:00,Tuesday
Line P,0,2023-10-10 23:00:00,Tuesday
Line T,0,2023-10-10 23:00:00,Tuesday
Line 1,0,2023-10-11 23:00:00,Wednesday
Line 2,0,2023-10-11 23:00:00,Wednesday
Line A,0,2023-10-11 23:00:00,Wednesday
Line B,0,2023-10-11 23:00:00,Wednesday
Line H,0,2023-10-11 23:00:00,Wednesday
Line J,0,2023-10-11 23:00:00,Wednesday
Line K,0,2023-10-11 23:00:00,Wednesday
Line L,0,2023-10-11 23:00:00,Wednesday
Line M,0,2023-10-11 23:00:00,Wednesday
Line O,0,2023-10-11 23:00:00,Wednesday
Line P,0,2023-10-11 23:00:00,Wednesday
Line T,0,2023-10-11 23:00:00,Wednesday
Line 1,0,2023-10-12 23:00:00,Thursday
Line 2,0,2023-10-12 23:00:00,Thursday
Line A,0,2023-10-12 23:00:00,Thursday
Line B,0,2023-10-12 23:00:00,Thursday
Line H,0,2023-10-12 23:00:00,Thursday
Line J,0,2023-10-12 23:00:00,Thursday
Line K,0,2023-10-12 23:00:00,Thursday
Line L,0,2023-10-12 23:00:00,Thursday
Line M,0,2023-10-12 23:00:00,Thursday
Line O,0,2023-10-12 23:00:00,Thursday
Line P,0,2023-10-12 23:00:00,Thursday
Line T,0,2023-10-12 23:00:00,Thursday
Line 1,0,2023-10-13 23:00:00,Friday
Line 2,0,2023-10-13 23:00:00,Friday
Line A,0,2023-10-13 23:00:00,Friday
Line B,0,2023-10-13 23:00:00,Friday
Line H,0,2023-10-13 23:00:00,Friday
Line J,0,2023-10-13 23:00:00,Friday
Line K,0,2023-10-13 23:00:00,Friday
Line L,0,2023-10-13 23:00:00,Friday
Line M,0,2023-10-13 23:00:00,Friday
Line O,0,2023-10-13 23:00:00,Friday
Line P,0,2023-10-13 23:00:00,Friday
Line T,0,2023-10-13 23:00:00,Friday
Line 1,0,2023-10-14 23:00:00,Saturday
Line 2,0,2023-10-14 23:00:00,Saturday
Line A,0,2023-10-14 23:00:00,Saturday
Line B,0,2023-10-14 23:00:00,Saturday
Line H,0,2023-10-14 23:00:00,Saturday
Line J,0,2023-10-14 23:00:00,Saturday
Line K,0,2023-10-14 23:00:00,Saturday
Line L,0,2023-10-14 23:00:00,Saturday
Line M,0,2023-10-14 23:00:00,Saturday
Line O,0,2023-10-14 23:00:00,Saturday
Line P,0,2023-10-14 23:00:00,Saturday
Line T,0,2023-10-14 23:00:00,Saturday
Line 1,0,2023-10-15 23:00:00,Sunday
Line 2,0,2023-10-15 23:00:00,Sunday
Line A,0,2023-10-15 23:00:00,Sunday
Line B,0,2023-10-15 23:00:00,Sunday
Line H,0,2023-10-15 23:00:00,Sunday
Line J,0,2023-10-15 23:00:00,Sunday
Line K,0,2023-10-15 23:00:00,Sunday
Line L,0,2023-10-15 23:00:00,Sunday
Line M,0,2023-10-15 23:00:00,Sunday
Line O,0,2023-10-15 23:00:00,Sunday
Line P,0,2023-10-15 23:00:00,Sunday
Line T,0,2023-10-15 23:00:00,Sunday
Line 1,0,2023-10-16 23:00:00,Monday
Line 2,0,2023-10-16 23:00:00,Monday
Line A,0,2023-10-16 23:00:00,Monday
Line B,0,2023-10-16 23:00:00,Monday
Line H,0,2023-10-16 23:00:00,Monday
Line J,0,2023-10-16 23:00:00,Monday
Line K,0,2023-10-16 23:00:00,Monday
Line L,0,2023-10-16 23:00:00,Monday
Line M,0,2023-10-16 23:00:00,Monday
Line O,0,2023-10-16 23:00:00,Monday
Line P,0,2023-10-16 23:00:00,Monday
Line T,0,2023-10-16 23:00:00,Monday
Line 1,0,2023-10-17 23:00:00,Tuesday
Line 2,0,2023-10-17 23:00:00,Tuesday
Line A,0,2023-10-17 23:00:00,Tuesday
Line B,0,2023-10-17 23:00:00,Tuesday
Line H,0,2023-10-17 23:00:00,Tuesday
Line J,0,2023-10-17 23:00:00,Tuesday
Line K,0,2023-10-17 23:00:00,Tuesday
Line M,0,2023-10-17 23:00:00,Tuesday
Line O,0,2023-10-17 23:00:00,Tuesday
Line P,0,2023-10-17 23:00:00,Tuesday
Line T,0,2023-10-17 23:00:00,Tuesday
Line 1,0,2023-10-18 23:00:00,Wednesday
Line 2,0,2023-10-18 23:00:00,Wednesday
Line A,0,2023-10-18 23:00:00,Wednesday
Line B,0,2023-10-18 23:00:00,Wednesday
Line H,0,2023-10-18 23:00:00,Wednesday
Line J,0,2023-10-18 23:00:00,Wednesday
Line K,0,2023-10-18 23:00:00,Wednesday
Line L,0,2023-10-18 23:00:00,Wednesday
Line M,0,2023-10-18 23:00:00,Wednesday
Line O,0,2023-10-18 23:00:00,Wednesday
Line P,0,2023-10-18 23:00:00,Wednesday
Line T,0,2023-10-18 23:00:00,Wednesday
Line 1,0,2023-10-19 23:00:00,Thursday
Line 2,0,2023-10-19 23:00:00,Thursday
Line A,0,2023-10-19 23:00:00,Thursday
Line B,0,2023-10-19 23:00:00,Thursday
Line H,0,2023-10-19 23:00:00,Thursday
Line J,0,2023-10-19 23:00:00,Thursday
Line K,0,2023-10-19 23:00:00,Thursday
Line L,0,2023-10-19 23:00:00,Thursday
Line M,0,2023-10-19 23:00:00,Thursday
Line O,0,2023-10-19 23:00:00,Thursday
Line P,0,2023-10-19 23:00:00,Thursday
Line T,0,2023-10-19 23:00:00,Thursday
Line 1,0,2023-10-20 23:00:00,Friday
Line 2,0,2023-10-20 23:00:00,Friday
Line A,0,2023-10-20 23:00:00,Friday
Line B,0,2023-10-20 23:00:00,Friday
Line H,0,2023-10-20 23:00:00,Friday
Line J,0,2023-10-20 23:00:00,Friday
Line K,0,2023-10-20 23:00:00,Friday
Line L,0,2023-10-20 23:00:00,Friday
Line M,0,2023-10-20 23:00:00,Friday
Line O,0,2023-10-20 23:00:00,Friday
Line P,0,2023-10-20 23:00:00,Friday
Line T,0,2023-10-20 23:00:00,Friday
Line 1,0,2023-10-21 23:00:00,Saturday
Line 2,0,2023-10-21 23:00:00,Saturday
Line A,0,2023-10-21 23:00:00,Saturday
Line B,0,2023-10-21 23:00:00,Saturday
Line H,0,2023-10-21 23:00:00,Saturday
Line J,0,2023-10-21 23:00:00,Saturday
Line K,0,2023-10-21 23:00:00,Saturday
Line L,0,2023-10-21 23:00:00,Saturday
Line M,0,2023-10-21 23:00:00,Saturday
Line O,0,2023-10-21 23:00:00,Saturday
Line P,0,2023-10-21 23:00:00,Saturday
Line T,0,2023-10-21 23:00:00,Saturday
Line 1,0,2023-10-22 23:00:00,Sunday
Line 2,0,2023-10-22 23:00:00,Sunday
Line A,0,2023-10-22 23:00:00,Sunday
Line B,0,2023-10-22 23:00:00,Sunday
Line H,0,2023-10-22 23:00:00,Sunday
Line J,0,2023-10-22 23:00:00,Sunday
Line K,0,2023-10-22 23:00:00,Sunday
Line L,0,2023-10-22 23:00:00,Sunday
Line M,0,2023-10-22 23:00:00,Sunday
Line O,0,2023-10-22 23:00:00,Sunday
Line P,0,2023-10-22 23:00:00,Sunday
Line T,0,2023-10-22 23:00:00,Sunday
Line 1,0,2023-10-23 23:00:00,Monday
Line 2,0,2023-10-23 23:00:00,Monday
Line A,0,2023-10-23 23:00:00,Monday
Line B,0,2023-10-23 23:00:00,Monday
Line H,0,2023-10-23 23:00:00,Monday
Line J,0,2023-10-23 23:00:00,Monday
Line K,0,2023-10-23 23:00:00,Monday
Line M,0,2023-10-23 23:00:00,Monday
Line O,0,2023-10-23 23:00:00,Monday
Line P,0,2023-10-23 23:00:00,Monday
Line T,0,2023-10-23 23:00:00,Monday
Line 1,0,2023-10-24 23:00:00,Tuesday
Line 2,0,2023-10-24 23:00:00,Tuesday
Line A,0,2023-10-24 23:00:00,Tuesday
Line B,0,2023-10-24 23:00:00,Tuesday
Line H,0,2023-10-24 23:00:00,Tuesday
Line J,0,2023-10-24 23:00:00,Tuesday
Line K,0,2023-10-24 23:00:00,Tuesday
Line M,0,2023-10-24 23:00:00,Tuesday
Line O,0,2023-10-24 23:00:00,Tuesday
Line P,0,2023-10-24 23:00:00,Tuesday
Line T,0,2023-10-24 23:00:00,Tuesday
Line 1,0,2023-10-25 23:00:00,Wednesday
Line 2,0,2023-10-25 23:00:00,Wednesday
Line A,0,2023-10-25 23:00:00,Wednesday
Line B,0,2023-10-25 23:00:00,Wednesday
Line H,0,2023-10-25 23:00:00,Wednesday
Line J,0,2023-10-25 23:00:00,Wednesday
Line K,0,2023-10-25 23:00:00,Wednesday
Line M,0,2023-10-25 23:00:00,Wednesday
Line O,0,2023-10-25 23:00:00,Wednesday
Line P,0,2023-10-25 23:00:00,Wednesday
Line T,0,2023-10-25 23:00:00,Wednesday
Line 1,0,2023-10-26 23:00:00,Thursday
Line 2,0,2023-10-26 23:00:00,Thursday
Line A,0,2023-10-26 23:00:00,Thursday
Line B,0,2023-10-26 23:00:00,Thursday
Line H,0,2023-10-26 23:00:00,Thursday
Line J,0,2023-10-26 23:00:00,Thursday
Line K,0,2023-10-26 23:00:00,Thursday
Line M,0,2023-10-26 23:00:00,Thursday
Line O,0,2023-10-26 23:00:00,Thursday
Line P,0,2023-10-26 23:00:00,Thursday
Line T,0,2023-10-26 23:00:00,Thursday
Line 1,0,2023-10-27 23:00:00,Friday
Line 2,0,2023-10-27 23:00:00,Friday
Line A,0,2023-10-27 23:00:00,Friday
Line B,0,2023-10-27 23:00:00,Friday
Line H,0,2023-10-27 23:00:00,Friday
Line J,0,2023-10-27 23:00:00,Friday
Line K,0,2023-10-27 23:00:00,Friday
Line M,0,2023-10-27 23:00:00,Friday
Line O,0,2023-10-27 23:00:00,Friday
Line P,0,2023-10-27 23:00:00,Friday
Line T,0,2023-10-27 23:00:00,Friday
Line 1,0,2023-10-28 23:00:00,Saturday
Line 2,0,2023-10-28 23:00:00,Saturday
Line A,0,2023-10-28 23:00:00,Saturday
Line B,0,2023-10-28 23:00:00,Saturday
Line H,0,2023-10-28 23:00:00,Saturday
Line J,0,2023-10-28 23:00:00,Saturday
Line K,0,2023-10-28 23:00:00,Saturday
Line M,0,2023-10-28 23:00:00,Saturday
Line O,0,2023-10-28 23:00:00,Saturday
Line P,0,2023-10-28 23:00:00,Saturday
Line T,0,2023-10-28 23:00:00,Saturday
Line 1,0,2023-10-29 23:00:00,Sunday
Line 2,0,2023-10-29 23:00:00,Sunday
Line A,0,2023-10-29 23:00:00,Sunday
Line B,0,2023-10-29 23:00:00,Sunday
Line H,0,2023-10-29 23:00:00,Sunday
Line J,0,2023-10-29 23:00:00,Sunday
Line K,0,2023-10-29 23:00:00,Sunday
Line L,0,2023-10-29 23:00:00,Sunday
Line M,0,2023-10-29 23:00:00,Sunday
Line O,0,2023-10-29 23:00:00,Sunday
Line P,0,2023-10-29 23:00:00,Sunday
Line T,0,2023-10-29 23:00:00,Sunday
Line 1,0,2023-10-30 23:00:00,Monday
Line 2,0,2023-10-30 23:00:00,Monday
Line A,0,2023-10-30 23:00:00,Monday
Line B,0,2023-10-30 23:00:00,Monday
Line H,0,2023-10-30 23:00:00,Monday
Line K,0,2023-10-30 23:00:00,Monday
Line M,0,2023-10-30 23:00:00,Monday
Line O,0,2023-10-30 23:00:00,Monday
Line P,0,2023-10-30 23:00:00,Monday
Line T,0,2023-10-30 23:00:00,Monday
Line 1,0,2023-10-31 23:00:00,Tuesday
Line 2,0,2023-10-31 23:00:00,Tuesday
Line A,0,2023-10-31 23:00:00,Tuesday
Line B,0,2023-10-31 23:00:00,Tuesday
Line H,0,2023-10-31 23:00:00,Tuesday
Line K,0,2023-10-31 23:00:00,Tuesday
Line L,0,2023-10-31 23:00:00,Tuesday
Line M,0,2023-10-31 23:00:00,Tuesday
Line O,0,2023-10-31 23:00:00,Tuesday
Line P,0,2023-10-31 23:00:00,Tuesday
Line T,0,2023-10-31 23:00:00,Tuesday
Line 1,0,2023-11-01 23:00:00,Wednesday
Line 2,0,2023-11-01 23:00:00,Wednesday
Line A,0,2023-11-01 23:00:00,Wednesday
Line B,0,2023-11-01 23:00:00,Wednesday
Line H,0,2023-11-01 23:00:00,Wednesday
Line K,0,2023-11-01 23:00:00,Wednesday
Line L,0,2023-11-01 23:00:00,Wednesday
Line M,0,2023-11-01 23:00:00,Wednesday
Line O,0,2023-11-01 23:00:00,Wednesday
Line P,0,2023-11-01 23:00:00,Wednesday
Line T,0,2023-11-01 23:00:00,Wednesday
Line 1,0,2023-11-02 23:00:00,Thursday
Line 2,0,2023-11-02 23:00:00,Thursday
Line A,0,2023-11-02 23:00:00,Thursday
Line B,0,2023-11-02 23:00:00,Thursday
Line H,0,2023-11-02 23:00:00,Thursday
Line L,0,2023-11-02 23:00:00,Thursday
Line M,0,2023-11-02 23:00:00,Thursday
Line O,0,2023-11-02 23:00:00,Thursday
Line P,0,2023-11-02 23:00:00,Thursday
Line T,0,2023-11-02 23:00:00,Thursday
Line 1,0,2023-11-03 23:00:00,Friday
Line 2,0,2023-11-03 23:00:00,Friday
Line A,0,2023-11-03 23:00:00,Friday
Line B,0,2023-11-03 23:00:00,Friday
Line H,0,2023-11-03 23:00:00,Friday
Line L,0,2023-11-03 23:00:00,Friday
Line M,0,2023-11-03 23:00:00,Friday
Line O,0,2023-11-03 23:00:00,Friday
Line P,0,2023-11-03 23:00:00,Friday
Line T,0,2023-11-03 23:00:00,Friday
Line 1,0,2023-11-04 23:00:00,Saturday
Line 2,0,2023-11-04 23:00:00,Saturday
Line A,0,2023-11-04 23:00:00,Saturday
Line B,0,2023-11-04 23:00:00,Saturday
Line H,0,2023-11-04 23:00:00,Saturday
Line L,0,2023-11-04 23:00:00,Saturday
Line M,0,2023-11-04 23:00:00,Saturday
Line O,0,2023-11-04 23:00:00,Saturday
Line P,0,2023-11-04 23:00:00,Saturday
Line T,0,2023-11-04 23:00:00,Saturday
